"Factor","Item","StdLoading","p"
"L_COG","C1",0.710103066999006,0
"L_COG","C2",0.909509785858159,0
"L_COG","C3",0.804488698943147,0
"L_COG","C4",0.87019335755056,0
"L_COG","C5",0.676929745203858,0
"L_REG","R1",0.489237866858158,0
"L_REG","R2",0.715799546835227,0
"L_REG","R3",0.610427604113235,0
"L_REG","R4",0.728415375274697,0
"L_REG","R5",0.573716105751545,0
"L_NORM","N1",0.590511571688412,0
"L_NORM","N2",0.476898420122603,0
"L_NORM","N3",0.538620065233151,0
"L_NORM","N4",0.608570024944162,0
"L_NORM","N5",0.607721651491965,0
"L_INT","I1",0.73869139470373,0
"L_INT","I2",0.718385682650253,0
"L_INT","I3",0.602105202486963,0
"L_INT","I4",0.599688154549615,0
"L_INT","I5",0.818107452028061,0
"L_INT","I6",0.667494915184029,0
