COG_mean,REG_mean,NORM_mean
-1.255944232813307,-0.003411001234074335,0.06924926528693202
-0.0050578737168897854,0.5340775185669534,-0.13421324773564747
0.5251331397190319,0.03620671824184352,-0.16232629537548063
0.05535266517614898,0.009146310523918354,0.09622106494674218
0.4260591664947245,-0.13036475947218204,0.23837114719365984
-0.173448817498939,0.04919993968718096,-0.15576701786817812
0.7782979007140532,0.08103567398116389,0.013318445532470332
0.09668913281233245,-0.03431088752251413,0.08182306372097993
0.01413112055313641,0.1478352941020132,-0.0012073921568585865
-0.05898013664878197,0.32827442731151824,0.08785597141024838
0.7070629190017713,-0.14670009621129598,-0.13820108501641065
0.14800053252038317,-0.1174404618182545,-0.19414454783143228
0.41116291688077816,0.21363920651152932,0.17198411735557076
-1.1504480443705514,-0.2489886909650342,-0.2775499231055606
0.04157111830948717,-0.1341037878258763,0.23770531473455134
0.006532333751522419,0.01866115162798261,-0.21253928712831757
-0.20514768142741693,0.17440455460855814,-0.16096793480624233
0.462754225706863,-0.11810489519368397,-0.1526965973918612
-0.197002166813046,-0.1604786907389903,0.046896578226878954
-1.1919178481233492,-0.10015475673468788,0.06069679469171442
0.5245697992139813,0.03737768998148535,0.01750439746122851
0.45640072869813075,-0.08540359149151805,0.1505469696381595
0.2675805843615751,0.05084149693586928,0.0401228830611311
-0.09376909054282344,-0.007909899312603873,0.16343847365711991
-0.17453806653972923,0.36787799092063617,-0.0019056391551476811
0.38427286963857027,-0.12448436194629557,0.0958033825474399
0.40463089726206275,0.3452778988258665,0.1990640259965694
-0.1550617582716057,0.14374887854187426,-0.00814752047889996
0.13403871014327284,0.06653499407541089,0.1381775652504712
0.13711925228972208,0.058884086520158065,-0.21528469543496068
0.5643183927061969,0.09874053961565861,-0.07751151576721295
0.2687551390165744,-0.10571313026065011,0.1891930149219871
0.7694930527690133,-0.1014796717942116,-0.20834770795613128
-0.40622049352135176,0.028077012170251325,-0.1560210903804545
-0.22094098600502285,-0.33383258550942757,-0.3542568320568266
0.03941218006142911,0.07488440626542044,0.06766395951193517
0.6122603185581484,-0.001587235990602542,-0.12100788591932937
-1.0796263916282485,0.008737805107476645,-0.15307814291147745
-0.2359694934979967,0.05983458218274427,-0.17461543071898214
-0.1372550990022818,0.0116241888067854,-0.01802803248373654
0.439702449105624,0.2665145607238251,-0.09876488590285824
0.7029358371643425,-0.12657697112837224,-0.03475074845706528
-0.25416085514512576,0.0962778213998513,0.29926511829861197
-1.2136935019044846,-0.03363123507843873,0.008540963388416162
-0.07621366658421184,-0.05309535405943583,0.45287519421526595
-0.21191953159653487,0.03905374752198644,-0.15408025161788066
0.35332995063743305,-0.09307374163032368,0.11106244990596868
0.6018592122197636,0.018210929497520383,-0.14865107924678306
0.15125485173809375,0.004288184582068572,0.08400758201063012
0.4658665596620238,0.330604287933791,0.2205842563150476
-0.18192635346206568,0.06593389886951326,-0.1603457835597257
-0.21247589264885516,-0.21609557376072985,0.043666561400198846
0.6200872519651909,0.040524080321286425,0.064501343977637
0.5096757406784702,0.08304008967113845,-0.15522010905461625
0.25078063829888525,0.20764896794869925,0.1782530562680932
0.2675805843615751,0.05084149693586928,0.0401228830611311
-0.14414484653460646,-0.11824328217319234,-0.2544178291702887
0.38855102260639246,0.1262101283992692,0.0033908017041164897
0.20443142070872236,0.32036771266849545,-0.04309932511598617
0.3927048181226178,0.02229996356179845,-0.16841261278817607
0.5183603932869516,-0.06397744654494762,0.07175573111912693
0.4751889433505103,0.16852107891373513,-0.15568601205543614
0.5986797092440976,-0.18184697469649383,0.0708229811883657
-1.0447335447280277,-0.00940127422787536,0.26167118769182923
-0.1925871334480797,0.10187094408869621,0.14987822476252582
-1.2801001673389412,-0.07107156642879565,-0.1790059965644788
-0.17152733016022095,-0.02054375927825055,0.008287577510405243
-0.16179279345227063,0.12667352937395834,0.03529065655956251
0.036074759985041824,-0.025098612067669147,0.15723945295624608
-0.04032283791549861,-0.1685811627145811,0.20202006677916223
-1.167007558697883,-0.13017408560610136,0.22165726973909305
